roc_auc,std,params,weights
0.8652330459473564,0.003724951675237213,"{'weights': (0.9, 0.09999999999999998)}","(0.9, 0.09999999999999998)"
0.8650649172604485,0.0037296987940700277,"{'weights': (0.75, 0.25)}","(0.75, 0.25)"
0.8650025982937839,0.003737543009398586,"{'weights': (0.7000000000000001, 0.29999999999999993)}","(0.7000000000000001, 0.29999999999999993)"
0.8649403590592915,0.0037493313026427215,"{'weights': (0.65, 0.35)}","(0.65, 0.35)"
0.8648786642753128,0.00376107944638764,"{'weights': (0.6000000000000001, 0.3999999999999999)}","(0.6000000000000001, 0.3999999999999999)"
0.8648198927386426,0.0037677654683021186,"{'weights': (0.55, 0.44999999999999996)}","(0.55, 0.44999999999999996)"
0.8647677051048118,0.003773307593204919,"{'weights': (0.5, 0.5)}","(0.5, 0.5)"
0.8646569839755058,0.0037939769627738495,"{'weights': (0.4, 0.6)}","(0.4, 0.6)"
0.8646051660585711,0.0038039766660673043,"{'weights': (0.35000000000000003, 0.6499999999999999)}","(0.35000000000000003, 0.6499999999999999)"
0.864555712308585,0.0038136417102790665,"{'weights': (0.30000000000000004, 0.7)}","(0.30000000000000004, 0.7)"
0.8645019087494743,0.003819670231429043,"{'weights': (0.25, 0.75)}","(0.25, 0.75)"
0.8643278816760255,0.0038439600689357464,"{'weights': (0.1, 0.9)}","(0.1, 0.9)"
0.8643278816760255,0.0038439600689357464,"{'weights': (0.1, 0.9)}","(0.1, 0.9)"
0.8642572409258135,0.0038559321026017572,"{'weights': (0.05, 0.95)}","(0.05, 0.95)"
0.8641664513833938,0.0038644685538604747,"{'weights': (0.0, 1.0)}","(0.0, 1.0)"
