roc_auc,std,params,weights
0.8654577125947649,0.0034553682379565567,"{'weights': (0.8000000000000002, 0.05, 0.14999999999999986)}","(0.8000000000000002, 0.05, 0.14999999999999986)"
0.8654577125947649,0.0034553682379565567,"{'weights': (0.8000000000000002, 0.05, 0.14999999999999986)}","(0.8000000000000002, 0.05, 0.14999999999999986)"
0.8654577125947649,0.0034553682379565567,"{'weights': (0.8000000000000002, 0.05, 0.14999999999999986)}","(0.8000000000000002, 0.05, 0.14999999999999986)"
0.8654577125947649,0.0034553682379565567,"{'weights': (0.8000000000000002, 0.05, 0.14999999999999986)}","(0.8000000000000002, 0.05, 0.14999999999999986)"
0.8653776518147586,0.0036236121975320268,"{'weights': (0.9000000000000002, 0.05, 0.04999999999999975)}","(0.9000000000000002, 0.05, 0.04999999999999975)"
0.8653776518147586,0.0036236121975320268,"{'weights': (0.9000000000000002, 0.05, 0.04999999999999975)}","(0.9000000000000002, 0.05, 0.04999999999999975)"
0.8653577103493133,0.0033900972959969213,"{'weights': (0.7500000000000001, 0.05, 0.1999999999999999)}","(0.7500000000000001, 0.05, 0.1999999999999999)"
0.86533831635791,0.0035326816545796975,"{'weights': (0.65, 0.2, 0.14999999999999997)}","(0.65, 0.2, 0.14999999999999997)"
0.8653156858821458,0.003587589176603725,"{'weights': (0.7000000000000001, 0.2, 0.09999999999999992)}","(0.7000000000000001, 0.2, 0.09999999999999992)"
0.8653025424172579,0.003477125019177238,"{'weights': (0.6, 0.2, 0.2)}","(0.6, 0.2, 0.2)"
0.8652778212105335,0.0033731544919287084,"{'weights': (0.65, 0.1, 0.24999999999999997)}","(0.65, 0.1, 0.24999999999999997)"
0.8652500959282186,0.0035520431683442764,"{'weights': (0.6, 0.25, 0.15000000000000002)}","(0.6, 0.25, 0.15000000000000002)"
0.8652472170130189,0.0036551409744306727,"{'weights': (0.7500000000000001, 0.2, 0.04999999999999988)}","(0.7500000000000001, 0.2, 0.04999999999999988)"
0.8652108243713927,0.0035355198494585525,"{'weights': (0.9000000000000002, 0.0, 0.09999999999999976)}","(0.9000000000000002, 0.0, 0.09999999999999976)"
0.8652042575633813,0.003744339311527871,"{'weights': (0.9500000000000003, 0.05, -2.914335439641036e-16)}","(0.9500000000000003, 0.05, -2.914335439641036e-16)"
0.8651903016599676,0.003726345078963263,"{'weights': (0.8500000000000002, 0.15000000000000002, -2.220446049250313e-16)}","(0.8500000000000002, 0.15000000000000002, -2.220446049250313e-16)"
0.8651698605718986,0.003659639826433313,"{'weights': (0.7000000000000001, 0.25, 0.04999999999999993)}","(0.7000000000000001, 0.25, 0.04999999999999993)"
0.8651638480287394,0.003339898120998953,"{'weights': (0.7000000000000001, 0.05, 0.24999999999999994)}","(0.7000000000000001, 0.05, 0.24999999999999994)"
0.8650958733814316,0.003676969748763415,"{'weights': (0.65, 0.30000000000000004, 0.04999999999999993)}","(0.65, 0.30000000000000004, 0.04999999999999993)"
0.8650751053590054,0.0033345394938665385,"{'weights': (0.6, 0.1, 0.30000000000000004)}","(0.6, 0.1, 0.30000000000000004)"
0.8650649172604485,0.0037296987940700277,"{'weights': (0.7500000000000001, 0.25, -1.1102230246251565e-16)}","(0.7500000000000001, 0.25, -1.1102230246251565e-16)"
0.8646127718135478,0.0033057139324370296,"{'weights': (0.7500000000000001, 0.0, 0.2499999999999999)}","(0.7500000000000001, 0.0, 0.2499999999999999)"
0.8641282426372683,0.0032648588570985512,"{'weights': (0.7000000000000001, 0.0, 0.29999999999999993)}","(0.7000000000000001, 0.0, 0.29999999999999993)"
0.8634902740947588,0.003248937510956429,"{'weights': (0.65, 0.0, 0.35)}","(0.65, 0.0, 0.35)"
0.8627109000327051,0.0032329514289272288,"{'weights': (0.6, 0.0, 0.4)}","(0.6, 0.0, 0.4)"
