roc_auc,std,params,model__grow_policy,model__learning_rate,model__max_depth,model__min_child_samples,model__reg_lambda,model__subsample
0.8648714594673018,0.0038271005113628322,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 13, 'model__min_child_samples': 150, 'model__reg_lambda': 96.06219803015938, 'model__subsample': 1.0}",Depthwise,0.1,13,150,96.06219803015938,1.0
0.8648018823839898,0.0037537575770868028,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 12, 'model__min_child_samples': 150, 'model__reg_lambda': 76.68233954404866, 'model__subsample': 0.7}",Depthwise,0.1,12,150,76.68233954404866,0.7
0.8647261011649663,0.003575131148722549,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 11, 'model__min_child_samples': 150, 'model__reg_lambda': 37.86054816288982, 'model__subsample': 1.0}",Depthwise,0.1,11,150,37.86054816288982,1.0
0.8647155647651861,0.004077241775829752,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 15, 'model__min_child_samples': 150, 'model__reg_lambda': 79.93186778571027, 'model__subsample': 0.7}",Depthwise,0.1,15,150,79.93186778571027,0.7
0.8647019975903911,0.003487213668874619,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 11, 'model__min_child_samples': 75, 'model__reg_lambda': 23.950855506838003, 'model__subsample': 1.0}",Depthwise,0.1,11,75,23.950855506838003,1.0
0.864592069860303,0.0035749077576880616,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__min_child_samples': 150, 'model__reg_lambda': 57.07763543831076, 'model__subsample': 0.7}",Depthwise,0.1,7,150,57.07763543831076,0.7
0.8645777987440123,0.0036987111157629642,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 11, 'model__min_child_samples': 150, 'model__reg_lambda': 15.369399250642235, 'model__subsample': 1.0}",Depthwise,0.1,11,150,15.369399250642235,1.0
0.864568453705114,0.0037943317749102707,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 13, 'model__min_child_samples': 150, 'model__reg_lambda': 98.19469401259488, 'model__subsample': 1.0}",Depthwise,0.1,13,150,98.19469401259488,1.0
0.8645576613829986,0.0034963069117537556,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 13, 'model__min_child_samples': 150, 'model__reg_lambda': 84.76651620291317, 'model__subsample': 1.0}",Depthwise,0.1,13,150,84.76651620291317,1.0
0.8645453352529187,0.00364423266674663,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 12, 'model__min_child_samples': 150, 'model__reg_lambda': 72.29213607952204, 'model__subsample': 1.0}",Depthwise,0.1,12,150,72.29213607952204,1.0
0.8645367086688843,0.0034751745580379853,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__min_child_samples': 150, 'model__reg_lambda': 78.55413340107305, 'model__subsample': 1.0}",Depthwise,0.1,10,150,78.55413340107305,1.0
