roc_auc,std,params,model__ccp_alpha,model__criterion,model__learning_rate,model__loss,model__max_depth,model__max_features,model__min_samples_leaf,model__n_iter_no_change,model__subsample
0.8640261164650245,0.0037278419496512556,"{'model__ccp_alpha': 0.00012425372073062064, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'exponential', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 50, 'model__subsample': 0.7}",0.00012425372073062064,squared_error,0.03,exponential,7,,75,50,0.7
0.8637636236316741,0.003706736868606436,"{'model__ccp_alpha': 0.0001616297934881029, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'exponential', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 50, 'model__subsample': 0.7}",0.0001616297934881029,squared_error,0.03,exponential,7,,75,50,0.7
0.8634313372350821,0.003505418534549084,"{'model__ccp_alpha': 0.00018980140927212712, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'exponential', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 50, 'model__subsample': 0.7}",0.00018980140927212712,squared_error,0.03,exponential,7,,75,50,0.7
0.8633033034390548,0.003441914128951847,"{'model__ccp_alpha': 2.1160405016474556e-05, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.03, 'model__loss': 'exponential', 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 25, 'model__n_iter_no_change': 15, 'model__subsample': 0.9}",2.1160405016474556e-05,friedman_mse,0.03,exponential,7,log2,25,15,0.9
0.8633021879425431,0.003749244069484464,"{'model__ccp_alpha': 9.668642209202378e-06, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'exponential', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 25, 'model__subsample': 0.7}",9.668642209202378e-06,squared_error,0.03,exponential,7,,75,25,0.7
0.8632734452054114,0.0036809978357324113,"{'model__ccp_alpha': 4.4209295178239764e-05, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'exponential', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 50, 'model__subsample': 0.7}",4.4209295178239764e-05,squared_error,0.03,exponential,7,,75,50,0.7
0.8632265574165503,0.0036692998401146003,"{'model__ccp_alpha': 6.395194166709315e-05, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.01, 'model__loss': 'exponential', 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 10, 'model__subsample': 0.8}",6.395194166709315e-05,friedman_mse,0.01,exponential,10,sqrt,75,10,0.8
0.8630752724026094,0.0037213052416100335,"{'model__ccp_alpha': 0.00022119421140066528, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'exponential', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 50, 'model__subsample': 0.7}",0.00022119421140066528,squared_error,0.03,exponential,7,,75,50,0.7
0.8627454036437603,0.0035767191936405098,"{'model__ccp_alpha': 0.00010485403456642669, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.01, 'model__loss': 'exponential', 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 10, 'model__subsample': 0.8}",0.00010485403456642669,friedman_mse,0.01,exponential,10,sqrt,75,10,0.8
0.8626928523781716,0.00356885813582746,"{'model__ccp_alpha': 0.00011629234353212017, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.01, 'model__loss': 'exponential', 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 10, 'model__subsample': 0.8}",0.00011629234353212017,friedman_mse,0.01,exponential,10,sqrt,75,10,0.8
